index	mean_abs_asymmetry	median_abs_asymmetry	pairs_ge_0_10	pairs_ge_0_20	max_abs_asymmetry
749	0.13913168796198033	0.13346684525461736	24	8	0.3457792207792208
750	0.09727476685436566	0.09621489621489615	17	3	0.23316115702479345
751	0.14199151259143794	0.11601731601731602	19	10	0.44372294372294385
752	0.11387834277292236	0.09027768006641246	17	6	0.32305194805194815
753	0.13246489475416065	0.1073065823065823	21	5	0.6652236652236652
754	0.10398576473320392	0.08089310746160933	13	7	0.2853535353535355
755	0.13147392908383093	0.07521872067326618	14	10	0.45670995670995673
756	0.11153325880305182	0.08202782066418435	17	7	0.3124098124098124
757	0.11632059965926803	0.09533656164578064	17	5	0.3952690501986277
758	0.10530302235781323	0.08676046176046176	15	5	0.30325713552346073
759	0.11667651014908803	0.11329365079365086	21	5	0.3070302154809196
760	0.12349924082611873	0.11759133863007101	20	9	0.3005952380952381
761	0.11140147104322305	0.07895580198717203	14	8	0.3255280073461893
762	0.11521551737887632	0.11212121212121212	19	5	0.3362193362193362
763	0.11737649522273938	0.11900787006420807	20	7	0.2842712842712842
764	0.10648918360452721	0.09047941495124595	17	5	0.3354700854700856
765	0.12913077496277456	0.1029310966810966	19	5	0.5992063492063493
766	0.10013559914461534	0.06565349751969471	14	5	0.3568376068376069
767	0.11940414857348276	0.08663884042405168	16	5	0.4642857142857143
768	0.13220153918377353	0.1266799905884414	21	8	0.39316239316239326
769	0.09981588217823813	0.07235702482181353	13	4	0.28441558441558434
770	0.10918763061048595	0.08828463203463205	17	6	0.38873626373626374
771	0.13959077928481473	0.10671241637150733	20	9	0.38492063492063494
772	0.0872784082411163	0.0559065934065934	11	4	0.35245310245310246
773	0.12516240867579964	0.09286218831673382	17	8	0.3787878787878787
774	0.12394137419345484	0.10163435227455711	18	7	0.34983766233766234
775	0.10118713046449924	0.08098757303302759	15	4	0.3084415584415585
776	0.07964444099473976	0.06507830979661963	11	1	0.25577200577200576
777	0.1149048063407325	0.08363733115653732	14	6	0.4188311688311688
778	0.12130415826131785	0.09649252262888625	17	7	0.3569278921391599
779	0.09157255334965536	0.08959474868565767	16	3	0.24691558441558453
780	0.10226282447259827	0.06971153846153849	10	5	0.370752984389348
781	0.1194122917301001	0.09998387762472272	18	10	0.29143772893772896
782	0.12001446131167642	0.10743839493839494	19	9	0.3441675695196822
783	0.0942748418927463	0.08128957310295343	16	1	0.3156565656565657
784	0.10320658143961602	0.0805169009394362	12	5	0.44166666666666676
785	0.09651040306850167	0.07053489439853078	15	4	0.29004329004329005
786	0.12047879993222502	0.1116597701985026	20	8	0.36752136752136755
787	0.08429377486142317	0.07584577980704743	12	1	0.24099385463021827
788	0.12464942909085035	0.11175819130364581	21	10	0.3823953823953824
789	0.12437325472696788	0.11422340285976651	19	7	0.32611832611832614
790	0.11612662123092127	0.08551171051171061	15	7	0.3615384615384615
791	0.13306730747911927	0.11988482956792809	19	8	0.45833333333333337
792	0.11597962129198791	0.10780877963976554	20	6	0.30014430014430016
793	0.12649998271397117	0.10888557842783197	19	6	0.48054029304029305
