scenario	model	held_out_domain	fold_index	train_n	test_n	test_responders	test_non_responders	selected_features	pseudocount	best_params	inner_group_cv_auc	roc_auc	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss
S1_EXCLUDE_BCN12	elastic_net	Gopalakrishnan_US	2	337	25	14	11	497	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.564940140216148	0.5714285714285714	0.6074056711385327	0.24555750787381675	0.512987012987013	0.5714285714285714	0.45454545454545453	0.6842796960224665
S1_EXCLUDE_BCN12	elastic_net	Lee_Barcelona	3	351	11	5	6	479	5.636676092694479e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5756527271701389	0.33333333333333337	0.5232900432900432	0.3714157935315816	0.4666666666666667	0.6	0.3333333333333333	0.9791737563270704
S1_EXCLUDE_BCN12	elastic_net	Lee_Leeds	4	344	18	10	8	481	5.636676092694479e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5718418980700444	0.5375	0.5764538239538239	0.3055211557062362	0.6	0.7	0.5	1.0172638739646118
S1_EXCLUDE_BCN12	elastic_net	Lee_Manchester	5	337	25	12	13	481	1.0246076956443401e-07	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5671470141419563	0.46153846153846156	0.5281929328604521	0.260347640424119	0.48397435897435903	0.5833333333333334	0.38461538461538464	0.7141044762729597
S1_EXCLUDE_BCN12	elastic_net	Lee_PRIMM_NL	6	307	55	33	22	483	5.636676092694479e-08	"{""C"": 1.0, ""l1_ratio"": 0.75}"	0.489599594390588	0.522038567493113	0.6451814010857426	0.3635136503333696	0.5681818181818181	0.6363636363636364	0.5	1.5232207012528565
S1_EXCLUDE_BCN12	elastic_net	Lee_PRIMM_UK	7	308	54	33	21	466	5.636676092694479e-08	"{""C"": 1.0, ""l1_ratio"": 0.75}"	0.48448071043677554	0.6883116883116883	0.8269347792408641	0.3402163432515738	0.5822510822510822	0.5454545454545454	0.6190476190476191	1.489245690811948
S1_EXCLUDE_BCN12	elastic_net	Matson_US	8	324	38	14	24	488	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5710836769207075	0.44345238095238093	0.4800573023621484	0.2677139666388892	0.41666666666666663	0.5	0.3333333333333333	0.7291785894040652
S1_EXCLUDE_BCN12	elastic_net	Spencer_US	9	265	97	71	26	500	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.25}"	0.5306520785802641	0.5585048754062839	0.7830817965038515	0.29312474844796577	0.5696099674972914	0.4084507042253521	0.7307692307692307	0.798711738192919
S1_EXCLUDE_BCN12	ridge	Frankel_US	1	323	39	24	15	472	5.636676092694479e-08	"{""C"": 10.0}"	0.49190726164416676	0.4	0.5702170359401021	0.5345882724791847	0.37916666666666665	0.2916666666666667	0.4666666666666667	3.152607612762465
S1_EXCLUDE_BCN12	ridge	Gopalakrishnan_US	2	337	25	14	11	497	5.636676092694479e-08	"{""C"": 0.02}"	0.4861224012383777	0.36363636363636365	0.4832726243111221	0.31377853686308266	0.4577922077922078	0.6428571428571429	0.2727272727272727	0.8584166763837695
S1_EXCLUDE_BCN12	ridge	Lee_Barcelona	3	351	11	5	6	479	5.636676092694479e-08	"{""C"": 0.1}"	0.5138210575062208	0.33333333333333337	0.5259090909090909	0.4467817918308375	0.45	0.4	0.5	1.434234277026084
S1_EXCLUDE_BCN12	ridge	Lee_Leeds	4	344	18	10	8	481	5.636676092694479e-08	"{""C"": 10.0}"	0.512155157654158	0.37499999999999994	0.5479749417249417	0.429112393627771	0.525	0.8	0.25	3.856332456085594
S1_EXCLUDE_BCN12	ridge	Lee_Manchester	5	337	25	12	13	481	1.0246076956443401e-07	"{""C"": 0.02}"	0.5184051426836912	0.2756410256410256	0.38442192445709067	0.3942062423562753	0.4487179487179487	0.6666666666666666	0.23076923076923078	1.097774405225522
S1_EXCLUDE_BCN12	ridge	Lee_PRIMM_NL	6	307	55	33	22	483	5.636676092694479e-08	"{""C"": 10.0}"	0.4399824957984575	0.453168044077135	0.6007496323458037	0.4714715638330048	0.4393939393939394	0.5151515151515151	0.36363636363636365	2.6852265797145813
S1_EXCLUDE_BCN12	ridge	Lee_PRIMM_UK	7	308	54	33	21	466	5.636676092694479e-08	"{""C"": 2.0}"	0.448182206497054	0.6695526695526696	0.7873357225370934	0.38309489280428727	0.5670995670995671	0.5151515151515151	0.6190476190476191	2.222848892839237
S1_EXCLUDE_BCN12	ridge	Matson_US	8	324	38	14	24	488	5.636676092694479e-08	"{""C"": 2.0}"	0.47975891940551874	0.41666666666666663	0.3553551286032275	0.5516271462315384	0.44642857142857145	0.6428571428571429	0.25	3.067595398099074
S1_EXCLUDE_BCN12	ridge	Spencer_US	9	265	97	71	26	500	5.636676092694479e-08	"{""C"": 0.02}"	0.4595668628201971	0.5173347778981582	0.754293678224798	0.3040935619849074	0.5138136511375948	0.4507042253521127	0.5769230769230769	0.8373798560037244
S1_EXCLUDE_BCN12	random_forest	Frankel_US	1	323	39	24	15	472	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"	0.5220939617882474	0.5388888888888889	0.628038086647359	0.2503707473534901	0.5708333333333333	0.5416666666666666	0.6	0.6943277754517484
S1_EXCLUDE_BCN12	random_forest	Gopalakrishnan_US	2	337	25	14	11	497	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"	0.483448500085347	0.6103896103896104	0.6487218139003853	0.24227712932436993	0.5097402597402597	0.9285714285714286	0.09090909090909091	0.6805888978748811
S1_EXCLUDE_BCN12	random_forest	Lee_Barcelona	3	351	11	5	6	479	5.636676092694479e-08	"{""max_features"": 0.3, ""min_samples_leaf"": 5}"	0.5643443777558385	0.39999999999999997	0.4638888888888889	0.2886595551353724	0.5833333333333334	1.0	0.16666666666666666	0.7750243807399098
S1_EXCLUDE_BCN12	random_forest	Lee_Leeds	4	344	18	10	8	481	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"	0.5658947800508226	0.5	0.5572759103641456	0.25133376180064215	0.5625	1.0	0.125	0.697761918819729
S1_EXCLUDE_BCN12	random_forest	Lee_Manchester	5	337	25	12	13	481	1.0246076956443401e-07	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}"	0.5462884493765697	0.3846153846153846	0.4424331717523937	0.27573971818535326	0.5384615384615384	1.0	0.07692307692307693	0.7469315893879505
S1_EXCLUDE_BCN12	random_forest	Lee_PRIMM_NL	6	307	55	33	22	483	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"	0.49846414076295836	0.6336088154269973	0.7105251482761806	0.23010639070036995	0.5303030303030303	0.9696969696969697	0.09090909090909091	0.6523909697144153
S1_EXCLUDE_BCN12	random_forest	Lee_PRIMM_UK	7	308	54	33	21	466	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}"	0.4661097840249536	0.5887445887445888	0.6762755609443558	0.2375862441334357	0.6082251082251082	0.7878787878787878	0.42857142857142855	0.6664308740533821
