scenario	model	feature	folds_selected	unique_outer_folds	nonzero_fold_fraction	mean_importance	mean_absolute_importance	median_importance	sign_consistency
S1_EXCLUDE_BCN12	ridge	s__Blautia_faecicola	3	3	1.0	0.22544534588747278	0.22544534588747278	0.08889613129679301	1.0
S1_EXCLUDE_BCN12	ridge	s__Anaerotignum_lactatifermentans	5	5	1.0	-0.22497699058159992	0.22497699058159992	-0.15153109661483638	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB52130_SGB14966	9	9	1.0	0.22409677245316587	0.22409677245316587	0.12947060031885263	1.0
S1_EXCLUDE_BCN12	ridge	s__Blautia_luti	9	9	1.0	-0.22239587161445465	0.22239587161445465	-0.15136190895691537	1.0
S1_EXCLUDE_BCN12	ridge	s__Enterocloster_aldenensis	9	9	1.0	0.22228158307767953	0.22228158307767953	0.18788829635141033	1.0
S1_EXCLUDE_BCN12	ridge	s__Clostridium_sp_AF34_10BH	9	9	1.0	0.21998911145654662	0.21998911145654662	0.19425534209183368	1.0
S1_EXCLUDE_BCN12	ridge	s__Neglectibacter_timonensis	9	9	1.0	-0.21837124894194362	0.21837124894194362	-0.2111202597671045	1.0
S1_EXCLUDE_BCN12	ridge	s__Actinobaculum_sp_oral_taxon_183	8	8	1.0	-0.21657020926795273	0.21657020926795273	-0.1424159639942708	1.0
S1_EXCLUDE_BCN12	ridge	s__Phocea_massiliensis	9	9	1.0	0.21623246048276146	0.21623246048276146	0.14881441731295453	1.0
S1_EXCLUDE_BCN12	ridge	s__Bifidobacterium_dentium	9	9	1.0	-0.21612336545166916	0.21612336545166916	-0.13319013336925556	1.0
S1_EXCLUDE_BCN12	ridge	s__Enterocloster_bolteae	9	9	1.0	-0.21556846086514114	0.21556846086514114	-0.22840646822416513	1.0
S1_EXCLUDE_BCN12	ridge	s__Candidatus_Borkfalkia_ceftriaxoniphila	9	9	1.0	0.21515682976889292	0.21515682976889292	0.19038161316994415	1.0
S1_EXCLUDE_BCN12	ridge	s__Dorea_formicigenerans	9	9	1.0	0.2139919733431494	0.2139919733431494	0.18674071741944498	1.0
S1_EXCLUDE_BCN12	ridge	s__Bacteroides_eggerthii	9	9	1.0	0.20442918761634826	0.21335322904772347	0.15119684405747275	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__Oscillibacter_sp_PC13	8	8	1.0	0.21210361548466677	0.21210361548466677	0.13208847130825607	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9210_SGB14149	8	8	1.0	-0.21075045802730807	0.21075045802730807	-0.12710041660962446	1.0
S1_EXCLUDE_BCN12	ridge	s__Butyricimonas_faecihominis	9	9	1.0	0.20878098318774677	0.20878098318774677	0.17764085915313182	1.0
