permutation_index	lodo_roc_auc	losfo_roc_auc
373	0.4880373713780696	0.5093112808534814
374	0.5298907897228711	0.5380657786755887
375	0.4386718010226627	0.47579066978094825
376	0.47348652231551036	0.4691307366959157
377	0.45300170443785115	0.45688403509879427
378	0.47620099741177957	0.48841613534499084
379	0.5033457483744713	0.487847989394609
380	0.4296130294804621	0.4719714664478253
381	0.4721292847673758	0.519537907960356
382	0.5595606337983713	0.5243040212107822
383	0.476611325042611	0.44539486143551554
384	0.48292405782463227	0.4892367906066536
385	0.47616943374786946	0.46357553184773687
386	0.5149296130294805	0.4828924941607222
387	0.49163562906382174	0.4570418534183448
388	0.44823559118742506	0.4480777728678745
389	0.4124423963133641	0.4180607284893631
390	0.41171643204343167	0.4178397828419923
391	0.50590240515119	0.5030301117353702
392	0.5286282431664667	0.533110283441702
393	0.5161921595858847	0.4764535067230604
394	0.43523136165646104	0.4708667382109716
395	0.47620099741177957	0.46051385644845655
396	0.451171011931065	0.4854807146013509
397	0.5142667760873683	0.5164446688971656
398	0.465658733665804	0.4770532163373525
399	0.45978789217852406	0.4601350924815353
400	0.49166719272773185	0.47825263556593656
401	0.4757906697809482	0.4805567830313742
402	0.5362350861688024	0.5356669402184205
403	0.515971213938514	0.5303642446815227
404	0.4629758222334448	0.4118426866990721
405	0.4971908339120005	0.5176125244618395
406	0.5167603055362666	0.4977589798623824
407	0.46537466069061295	0.43614670790985416
408	0.5106053910737959	0.5329524651221513
409	0.4512341392588851	0.47661132504261094
410	0.4599457104980746	0.49558108705258513
411	0.46569029732971406	0.4676472444921406
412	0.5280285335521747	0.5142667760873681
413	0.4334953601414052	0.47118237485007264
414	0.5166656145445363	0.5075437156745155
415	0.4173347642194306	0.4399659112429771
416	0.42838204658796797	0.4340950697556972
417	0.40202638722302886	0.43519979799255093
418	0.4249100435578562	0.4490246827851777
419	0.5443153841297899	0.5820339625023674
420	0.5065336784293921	0.4977905435262926
