feature_cap	analysis_set	directed_pairs	mean_roc_auc	median_roc_auc	sd_roc_auc	mean_pr_auc	mean_brier	reciprocal_pairs	mean_abs_delta_auc	median_abs_delta_auc	pairs_ge_0_10	pairs_ge_0_20	max_abs_delta_auc	repeat
10	downsample_sources_to_25_all_targets	56	0.4878703821792753	0.5	0.09976074733810698	0.57445991506561	0.25224425575863835	21	0.09097349966085104	0.09523809523809523	10	2	0.24271397616468032	87
10	downsample_sources_to_25_all_targets	56	0.5086798859154584	0.5	0.09399239561827175	0.5840706041937411	0.2512687815243882	21	0.08131465831758494	0.07431457431457422	7	2	0.2406522468142187	88
10	downsample_sources_to_25_all_targets	56	0.49988774648694395	0.503099173553719	0.12619870377014328	0.5959144481708238	0.2532677344972852	21	0.09843814769733922	0.08266459674910387	8	1	0.2435897435897436	89
10	downsample_sources_to_25_all_targets	56	0.5030598332449211	0.5	0.1083070743259814	0.5881551105343065	0.25196625707015147	21	0.09257316918054069	0.0759920634920635	8	2	0.28038159024074505	90
10	downsample_sources_to_25_all_targets	56	0.49972692089212234	0.5	0.0971950241628234	0.5894432663245502	0.25034402518083765	21	0.060639836125705913	0.05591630591630592	5	0	0.17307692307692307	91
10	downsample_sources_to_25_all_targets	56	0.5049173852119366	0.5	0.09726882655352788	0.5915427039908318	0.25232547419668216	21	0.08202669634899377	0.07460317460317467	8	0	0.17307692307692313	92
10	downsample_sources_to_25_all_targets	56	0.4992245340528219	0.5	0.10116549321676235	0.5846511168571141	0.2533333374775548	21	0.09715591173657756	0.061111111111111116	8	4	0.25075936387556114	93
10	downsample_sources_to_25_all_targets	56	0.5016830675288525	0.5	0.10462925243402305	0.5870927044994089	0.25036382381733546	21	0.07029671270914183	0.038461538461538436	7	1	0.29289841613785267	94
10	downsample_sources_to_25_all_targets	56	0.5023670818878142	0.5	0.10026824550636777	0.5816358410930279	0.2535778072654483	21	0.07253684761573001	0.07713498622589526	6	0	0.19632936507936505	95
10	downsample_sources_to_25_all_targets	56	0.49976226456814526	0.5	0.11620342596432334	0.5901662924553934	0.25031245054246115	21	0.08210994330209623	0.048910401023077144	8	3	0.22186147186147187	96
10	downsample_sources_to_25_all_targets	56	0.5028983124559423	0.5	0.0965155984358652	0.5885278485942809	0.2559866721983225	21	0.06353386179158997	0.040121849981004876	5	0	0.1762272352061085	97
10	downsample_sources_to_25_all_targets	56	0.4970992325301418	0.5	0.13218384654296925	0.5959503086412979	0.2523207079729618	21	0.10381192157874984	0.08974358974358976	8	2	0.30411255411255417	98
10	downsample_sources_to_25_all_targets	56	0.492202118540261	0.5	0.09173425236074541	0.5827639334384677	0.2516962356787077	21	0.07247268166190794	0.07051282051282048	6	2	0.20652958152958156	99
10	downsample_sources_to_25_all_targets	56	0.5164744331969273	0.515268759018759	0.11876362190018873	0.6064696888444655	0.25037226343404756	21	0.10414558596834068	0.09054178145087238	7	5	0.297134946430721	100
25	downsample_sources_to_25_all_targets	56	0.5026988256145872	0.5229617604617605	0.1174486535173065	0.5997408536178421	0.2546644919396775	21	0.10499974255804692	0.09018759018759015	8	4	0.29952484561959597	1
25	downsample_sources_to_25_all_targets	56	0.5023058516952277	0.5029761904761905	0.10023353975470822	0.5991262713379673	0.25718765333099897	21	0.08057490633972252	0.07455178197815837	7	1	0.23461538461538461	2
25	downsample_sources_to_25_all_targets	56	0.4956445529293126	0.48161038882869867	0.13135747433156086	0.6053155451806896	0.25221050190245	21	0.08961342792625947	0.06666666666666671	7	1	0.2570838252656434	3
25	downsample_sources_to_25_all_targets	56	0.5136907360297417	0.4911976911976912	0.12670888113908998	0.611734075059091	0.25289721851458824	21	0.09647691355552157	0.06744913928012525	8	2	0.2923076923076922	4
25	downsample_sources_to_25_all_targets	56	0.4933446380085019	0.5	0.1098731224612526	0.5952977903693607	0.2524184100152852	21	0.09673764664733203	0.1003972553268328	11	2	0.2186147186147186	5
25	downsample_sources_to_25_all_targets	56	0.5050994088433212	0.5041666666666667	0.11682926476117576	0.6058323746583298	0.2538034387684541	21	0.09020117024849968	0.09365079365079354	9	1	0.2711912500644895	6
25	downsample_sources_to_25_all_targets	56	0.49056282830447706	0.4967532467532467	0.10369300567761704	0.6012323523615581	0.25521232581133674	21	0.09558398006244173	0.09623709623709625	10	2	0.21027930402930411	7
25	downsample_sources_to_25_all_targets	56	0.5058791919831738	0.5	0.12158156959638676	0.6055879326678228	0.25155655136670557	21	0.1103826915366608	0.09237153691379041	10	4	0.268939393939394	8
25	downsample_sources_to_25_all_targets	56	0.5041426530358704	0.5	0.08843571859192977	0.5886384377371898	0.2526464382092412	21	0.09196094533916925	0.08055555555555555	9	1	0.3256639194139194	9
25	downsample_sources_to_25_all_targets	56	0.5141997055536531	0.5131816540267244	0.13291889078765537	0.6215633298700014	0.2535650460511116	21	0.1102248790526182	0.09623709623709625	10	2	0.30337473559304545	10
25	downsample_sources_to_25_all_targets	56	0.5140643367357345	0.516025641025641	0.11319458250917323	0.6092280283419907	0.25467874480312963	21	0.10042209537476592	0.07381124352955326	6	2	0.3079004329004329	11
25	downsample_sources_to_25_all_targets	56	0.5150241773988516	0.5270703474928826	0.08931896548721711	0.6110972353829769	0.2508799106955973	21	0.09058967368254915	0.06237701692247155	6	3	0.28928012519561824	12
25	downsample_sources_to_25_all_targets	56	0.510965440739397	0.5014880952380952	0.10888921851554387	0.6178552568808069	0.25210794260530783	21	0.13197694328684817	0.13662423257493683	12	2	0.3012593467138923	13
25	downsample_sources_to_25_all_targets	56	0.49752855463325674	0.49350649350649356	0.11973203152259693	0.603356012362044	0.25315160621405114	21	0.1080395799334431	0.10130714356066478	11	4	0.2770316804407713	14
25	downsample_sources_to_25_all_targets	56	0.5002063324742296	0.4967532467532467	0.13453470230980424	0.6026538402551941	0.2522964107073041	21	0.1218098907085097	0.13095238095238093	11	3	0.3000228937728939	15
25	downsample_sources_to_25_all_targets	56	0.5044310958124807	0.5	0.10669266902900153	0.5960407116200124	0.25281023031567984	21	0.12311065460530428	0.11570247933884292	13	2	0.2765151515151515	16
25	downsample_sources_to_25_all_targets	56	0.511775320518404	0.5027777777777778	0.11472523902921695	0.6153103891797841	0.25203398335336685	21	0.09888073238402487	0.09592352092352097	8	2	0.24874084249084255	17
25	downsample_sources_to_25_all_targets	56	0.5137502169033688	0.5103115514447141	0.10743414863035124	0.6081772844490567	0.2546396752275007	21	0.1045927169406683	0.08712121212121215	9	3	0.39015151515151514	18
