feature_cap	train_domain	test_domain	train_n	test_n	train_responders	test_responders	selected_features	pseudocount	roc_auc	pr_auc	brier
25	Frankel_US	Matson_US	39	38	24	14	25	1.6488298996136508e-07	0.37797619047619047	0.3372015590755375	0.26279499630821745
25	Frankel_US	Spencer_US	39	97	24	71	25	1.6488298996136508e-07	0.5639219934994583	0.7758538683627967	0.23966896165060564
25	Gopalakrishnan_US	Frankel_US	25	39	14	24	25	2.5004030649745586e-07	0.5416666666666667	0.6186384754484959	0.25439188101407123
25	Gopalakrishnan_US	Lee_Barcelona	25	12	14	6	25	2.5004030649745586e-07	0.4166666666666667	0.509090909090909	0.26150169388533195
25	Gopalakrishnan_US	Lee_Leeds	25	18	14	10	25	2.5004030649745586e-07	0.475	0.6037884337884337	0.25756775621900824
25	Gopalakrishnan_US	Lee_Manchester	25	25	14	12	25	2.5004030649745586e-07	0.5897435897435898	0.5250793120278414	0.24305309776408066
25	Gopalakrishnan_US	Lee_PRIMM_NL	25	55	14	33	25	2.5004030649745586e-07	0.6157024793388429	0.7425715997755162	0.24584957520522344
25	Gopalakrishnan_US	Lee_PRIMM_UK	25	54	14	33	25	2.5004030649745586e-07	0.5281385281385281	0.6251118266179914	0.2553755451658597
25	Gopalakrishnan_US	Matson_US	25	38	14	14	25	2.5004030649745586e-07	0.6130952380952381	0.485413247233366	0.24682037369418372
25	Gopalakrishnan_US	Spencer_US	25	97	14	71	25	2.5004030649745586e-07	0.45070422535211263	0.7285601487546074	0.2661409166654863
25	Lee_Barcelona	Frankel_US	12	39	6	24	25	1.0246076956438827e-07	0.26111111111111107	0.5217029622628612	0.2701071408527543
25	Lee_Barcelona	Gopalakrishnan_US	12	25	6	14	25	1.0246076956438827e-07	0.5714285714285714	0.7101120584039838	0.25177698092948325
25	Lee_Barcelona	Lee_Leeds	12	18	6	10	25	1.0246076956438827e-07	0.48750000000000004	0.5418903318903319	0.24799505876484884
25	Lee_Barcelona	Lee_Manchester	12	25	6	12	25	1.0246076956438827e-07	0.3846153846153846	0.43980570662492857	0.2609730047990292
25	Lee_Barcelona	Lee_PRIMM_NL	12	55	6	33	25	1.0246076956438827e-07	0.4573002754820937	0.6011599702570837	0.2643186194308162
