layer	feature	k	pooled_effect	se	ci_low	ci_high	p_value	tau2	Q	Q_p	I2	prediction_low	prediction_high	positive_studies	negative_studies	sign_consistency	minimum_effect	maximum_effect	median_effect	significant_positive_studies	significant_negative_studies	study_list	fdr_q
pathway	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	5	-0.1177187676503758	0.15334633056157787	-0.5434764365381115	0.3080389012373599	0.4854932444233449	0.010833092952981849	5.363137840443564	0.25202426110465515	25.416796677573817	-0.7075299653925362	0.4720924300917846	1	4	0.8	-0.4771234373462393	0.5942051563707816	-0.14538357267401752	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	AST-PWY: L-arginine degradation II (AST pathway)	5	0.07795801989291164	0.1250978054699793	-0.2693691697751982	0.42528520956102145	0.5669400695540558	4.2197211149752105e-11	4.20183128826404	0.3793795183791516	4.8034124746456675	-0.32015902946086544	0.4760750692466887	4	1	0.8	-0.45696451369538676	0.49525200006270514	0.10019674259616379	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	5	-0.1039989247328436	0.12202733724308379	-0.442801127921724	0.23480327845603677	0.4420919021995629	4.425107065852647e-11	3.52245530748087	0.4744721904200383	0.0	-0.4923443738627337	0.2843465243970465	1	4	0.8	-0.5199012657791648	0.6005487826176784	-0.09433841881138164	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	5	-0.09508492611088952	0.13064257501462065	-0.45780686404066856	0.2676370118188895	0.5070376449437795	4.2308247827266164e-11	4.576936303859276	0.33352204865698554	12.60529458041186	-0.510847906794232	0.32067805457245296	1	4	0.8	-0.40474295958664225	0.5750966181283639	-0.18594685708362566	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	CALVIN-PWY: Calvin-Benson-Bassham cycle	5	-0.07712542007743133	0.1747278695459938	-0.5622477582200445	0.4079969180651818	0.6817322479001672	0.04062640036194128	5.818708593474403	0.2131024851868706	31.256224027339304	-0.9260469463800342	0.7717961062251716	1	4	0.8	-0.4838681275645896	0.6614894369896576	-0.1421145284758296	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9795255493262657
pathway	CENTFERM-PWY: pyruvate fermentation to butanoate	5	-0.010867785595848329	0.13137651500151373	-0.37562746760974564	0.35389189641804897	0.9380464614357278	4.3274259786518785e-11	4.633415250101603	0.32701965156449064	13.670591041623414	-0.4289664908876001	0.4072309196959034	3	2	0.6	-0.5115572229271262	0.6750257464155355	0.00029335361030303846	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
pathway	CITRULBIO-PWY: L-citrulline biosynthesis	5	-0.17040755307889377	0.12553722856754784	-0.5189547768553586	0.17813967069757103	0.24618153685388464	4.125501597432026e-11	4.219107280688501	0.37716427321907225	5.19321425391074	-0.5699230428321628	0.22910793667437523	2	3	0.6	-0.441390782080656	0.37085842297666877	-0.2322753905499393	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	COA-PWY-1: coenzyme A biosynthesis II (mammalian)	5	-0.09079408404832169	0.13801640448408223	-0.47398905471515057	0.2924008866185072	0.5465678150835354	4.236871285858756e-11	5.103383328621416	0.2768532631243982	21.620624154044776	-0.5300238810557096	0.3484357129590663	1	4	0.8	-0.4122414703987432	0.6304033404637911	-0.16553597866175196	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	COA-PWY: coenzyme A biosynthesis I	5	-0.1055021093401069	0.13801031099352645	-0.48868016176490864	0.27767594308469484	0.4872057051424732	4.266515417625556e-11	5.101187087739577	0.2770717561408813	21.586879069505596	-0.5447125141444289	0.33370829546421504	1	4	0.8	-0.4471886927211632	0.6019857034796346	-0.18955260782876124	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	5	-0.06560568617583334	0.16546661186560707	-0.5250146507637612	0.39380327841209456	0.7119866033800093	0.02841839075665013	5.49705289604897	0.23998865383153478	27.233736410376974	-0.8173476724753554	0.6861363001236886	1	4	0.8	-0.5922028545122373	0.5693313785717736	-0.13528039913573148	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
