scheme	mode	seed	prediction_type	n	responders	non_responders	prevalence	roc_auc	pr_auc	pr_lift	brier	log_loss	calibration_intercept	calibration_slope	macro_roc_auc	macro_pr_auc	folds
LOSFO	online_adaptive	20260802	locked_downstream	363	217	146	0.5977961432506887	0.4957704690360457	0.5872144265438708	0.9822987872600234	0.3649708637577417	1.110275981605895	0.3743149812719849	-0.033635337610239034	0.5104244510192967	0.592876159176765	5
LOSFO	online_adaptive	20260802	embedded_DEBIASM	363	217	146	0.5977961432506887	0.4447004608294931	0.5578928387120167	0.9332493108408388	0.2535568548142418	0.7034647482331228	0.7328397910051941	-0.5699040794338255	0.5345247212747962	0.5970611939403001	5
LOSFO	online_adaptive	20260803	locked_downstream	363	217	146	0.5977961432506887	0.4973802158954611	0.5878363477086387	0.9833391438628379	0.3642041396225657	1.107061486015691	0.375922501965132	-0.03132212599566885	0.513757873831293	0.5967629704905553	5
LOSFO	online_adaptive	20260803	embedded_DEBIASM	363	217	146	0.5977961432506887	0.45249668581528946	0.565087246082635	0.9452841950598917	0.2528073159994112	0.7018494411317008	0.6869638688258165	-0.48636411109071165	0.5406928126646436	0.598382741523962	5
LOSFO	online_adaptive	20260804	locked_downstream	363	217	146	0.5977961432506887	0.4958967236916861	0.5863450317366719	0.9808444540111146	0.3649855287917883	1.1106543790906531	0.3744464019975178	-0.033453177595584284	0.509267800424528	0.591396928741543	5
LOSFO	online_adaptive	20260804	embedded_DEBIASM	363	217	146	0.5977961432506887	0.44924562843254845	0.5575456884610817	0.9326685940616251	0.25091907225259324	0.6973470362161079	0.6963917534840415	-0.5471198711064936	0.5419788130658674	0.6039330212553894	5
LOSFO	online_adaptive	20260805	locked_downstream	363	217	146	0.5977961432506887	0.4975695978789218	0.5876059576303774	0.9829537447918294	0.3644015926500929	1.1083198202418498	0.37596246381380927	-0.0313029413318192	0.5151511057616841	0.597315084066792	5
LOSFO	online_adaptive	20260805	embedded_DEBIASM	363	217	146	0.5977961432506887	0.44709929928666126	0.5599326777020992	0.9366615760638801	0.2524397089488305	0.7007657483222389	0.7104108582519734	-0.5525191610806582	0.5342345773960998	0.5932398364933823	5
LOSFO	online_adaptive	20260806	locked_downstream	363	217	146	0.5977961432506887	0.4955810870525851	0.5884998946639288	0.9844491325484154	0.3655316361156737	1.1122605047952014	0.37448631020715933	-0.03316839462715577	0.5137279349858014	0.5968195080478141	5
LOSFO	online_adaptive	20260806	embedded_DEBIASM	363	217	146	0.5977961432506887	0.44968751972728993	0.5638824016625406	0.9432687179884894	0.25314158067541626	0.7024569984754603	0.7011337139788404	-0.5121546937728453	0.5358751962085795	0.5958017903133522	5
