scheme	held_out_group	mode	seed	prediction_type	n	responders	non_responders	prevalence	roc_auc	pr_auc	pr_lift	brier	log_loss	calibration_intercept	calibration_slope
LODO	Lee_PRIMM_UK	standard_transductive	20260802	embedded_DEBIASM	54	33	21	0.6111111111111112	0.5772005772005773	0.6790717843345562	1.1112083743656374	0.2340605777732501	0.6614165945189242	0.02301509865018371	0.8467814571262733
LODO	Lee_PRIMM_UK	standard_transductive	20260803	locked_downstream	54	33	21	0.6111111111111112	0.7301587301587302	0.8562302199034375	1.4011039962056249	0.23606349343724115	0.7441780003379996	0.6650580168745487	0.4489906117723178
LODO	Lee_PRIMM_UK	standard_transductive	20260803	embedded_DEBIASM	54	33	21	0.6111111111111112	0.5743145743145743	0.6767494229352655	1.1074081466213435	0.23405204610351582	0.6615471386909549	-0.07455447392316335	0.9148520526534755
LODO	Lee_PRIMM_UK	standard_transductive	20260804	locked_downstream	54	33	21	0.6111111111111112	0.7330447330447329	0.8578907621938532	1.4038212472263052	0.23596253907124698	0.7428536413367117	0.6641328602275259	0.4504707050497125
LODO	Lee_PRIMM_UK	standard_transductive	20260804	embedded_DEBIASM	54	33	21	0.6111111111111112	0.5815295815295816	0.6816967274506903	1.1155037358284023	0.23372110282911324	0.6607712724406613	-0.02985333580822544	0.8962340200686032
LODO	Lee_PRIMM_UK	standard_transductive	20260805	locked_downstream	54	33	21	0.6111111111111112	0.733044733044733	0.8584898067218478	1.404801501908478	0.23538363949312083	0.7413780139084776	0.6693378495852225	0.45422347487145653
LODO	Lee_PRIMM_UK	standard_transductive	20260805	embedded_DEBIASM	54	33	21	0.6111111111111112	0.5786435786435786	0.6802145142330336	1.1130782960176913	0.23360968476853203	0.660382477636522	-0.0797049984232614	0.9645205079830413
LODO	Lee_PRIMM_UK	standard_transductive	20260806	locked_downstream	54	33	21	0.6111111111111112	0.733044733044733	0.8584898067218478	1.404801501908478	0.23536906850372497	0.7418565866473538	0.6662881282550694	0.4523746173773623
LODO	Lee_PRIMM_UK	standard_transductive	20260806	embedded_DEBIASM	54	33	21	0.6111111111111112	0.5757575757575758	0.67664533818597	1.1072378261224962	0.23360262103660354	0.6603755155355082	-0.009239085129179288	0.9095716036915298
LODO	Matson_US	online_adaptive	20260802	locked_downstream	38	14	24	0.3684210526315789	0.4226190476190476	0.3859823187593092	1.0476662937752679	0.3834712234462148	1.0749412757946917	-0.5037394854992339	-0.07680860462281615
LODO	Matson_US	online_adaptive	20260802	embedded_DEBIASM	38	14	24	0.3684210526315789	0.48809523809523814	0.39790402694427457	1.0800252159916024	0.32693055829714185	0.8573742775884317	-0.2752421048129423	-0.3752424559625852
LODO	Matson_US	online_adaptive	20260803	locked_downstream	38	14	24	0.3684210526315789	0.42261904761904756	0.38561033406519984	1.046656621034114	0.38254009916783266	1.0721573231965427	-0.5062231606009066	-0.07046738311491102
LODO	Matson_US	online_adaptive	20260803	embedded_DEBIASM	38	14	24	0.3684210526315789	0.4761904761904762	0.3833964636798313	1.0406475442738279	0.32286242461777104	0.8479647834682985	-0.2556182896235092	-0.4241062688823331
LODO	Matson_US	online_adaptive	20260804	locked_downstream	38	14	24	0.3684210526315789	0.4226190476190476	0.386713312911356	1.049650420759395	0.38255535984335476	1.0707553767457791	-0.5068848115175529	-0.06733039646177483
LODO	Matson_US	online_adaptive	20260804	embedded_DEBIASM	38	14	24	0.3684210526315789	0.4910714285714286	0.3988509959200778	1.0825955603544968	0.3236719351799175	0.8499326731498702	-0.3082253995777012	-0.3409301059729924
LODO	Matson_US	online_adaptive	20260805	locked_downstream	38	14	24	0.3684210526315789	0.4196428571428571	0.3844810285880683	1.0435913633104712	0.3841092522372516	1.0754734008678772	-0.5054880764947758	-0.07068296268474304
LODO	Matson_US	online_adaptive	20260805	embedded_DEBIASM	38	14	24	0.3684210526315789	0.49404761904761907	0.3971710522482593	1.0780357132452754	0.32485060111711045	0.8526455313084444	-0.3530305726127503	-0.26940893401765964
LODO	Matson_US	online_adaptive	20260806	locked_downstream	38	14	24	0.3684210526315789	0.4196428571428571	0.3844810285880683	1.0435913633104712	0.386633272977383	1.0839153939446908	-0.5017623346783355	-0.07664330695057853
LODO	Matson_US	online_adaptive	20260806	embedded_DEBIASM	38	14	24	0.3684210526315789	0.48511904761904756	0.39169647010646563	1.0631761331461211	0.32259374174660094	0.8474764007904316	-0.3750665991644212	-0.24285023679155074
LODO	Matson_US	standard_transductive	20260802	locked_downstream	38	14	24	0.3684210526315789	0.42857142857142855	0.38676359291215723	1.049786895047284	0.38303288371517147	1.072156327256204	-0.4835661504984734	-0.08766314010442111
LODO	Matson_US	standard_transductive	20260802	embedded_DEBIASM	38	14	24	0.3684210526315789	0.5684523809523809	0.45657546691962525	1.2392762673532687	0.3480344002958624	0.9105028001447963	-1.4971097692096613	1.0039905343442785
LODO	Matson_US	standard_transductive	20260803	locked_downstream	38	14	24	0.3684210526315789	0.43452380952380953	0.3885429096545282	1.0546164690622908	0.38216992000136035	1.0681935226302364	-0.48570167591183144	-0.08539051424134454
