scheme	held_out_group	mode	seed	prediction_type	debiasm_roc_auc	frozen_baseline_roc_auc	delta_roc_auc	debiasm_pr_auc	frozen_baseline_pr_auc	delta_pr_auc	debiasm_brier	frozen_baseline_brier	delta_brier
LODO	Gopalakrishnan_US	standard_transductive	20260804	embedded_DEBIASM	0.49350649350649345	0.551948051948052	-0.05844155844155852	0.6489478847232246	0.6026296038837142	0.046318280839510395	0.25625199491109274	0.2807005903921053	-0.02444859548101258
LODO	Gopalakrishnan_US	standard_transductive	20260805	locked_downstream	0.5584415584415584	0.551948051948052	0.00649350649350644	0.5852118119975263	0.6026296038837142	-0.017417791886187972	0.29138944142928724	0.2807005903921053	0.010688851037181923
LODO	Gopalakrishnan_US	standard_transductive	20260805	embedded_DEBIASM	0.4805194805194805	0.551948051948052	-0.07142857142857145	0.6040424225383506	0.6026296038837142	0.001412818654636383	0.25794005570595663	0.2807005903921053	-0.022760534686148692
LODO	Gopalakrishnan_US	standard_transductive	20260806	locked_downstream	0.551948051948052	0.551948051948052	0.0	0.5780689548546691	0.6026296038837142	-0.02456064902904509	0.2913677446932665	0.2807005903921053	0.010667154301161164
LODO	Gopalakrishnan_US	standard_transductive	20260806	embedded_DEBIASM	0.45454545454545453	0.551948051948052	-0.09740259740259744	0.5952970910724309	0.6026296038837142	-0.0073325128112833315	0.26019925195939725	0.2807005903921053	-0.02050133843270807
LODO	Lee_Barcelona	online_adaptive	20260802	locked_downstream	0.5555555555555555	0.4444444444444444	0.11111111111111105	0.6353535353535353	0.6471861471861472	-0.011832611832611861	0.3384066504968255	0.3441184737711902	-0.005711823274364702
LODO	Lee_Barcelona	online_adaptive	20260802	embedded_DEBIASM	0.2777777777777778	0.4444444444444444	-0.16666666666666663	0.42328042328042326	0.6471861471861472	-0.22390572390572394	0.28958162710267654	0.3441184737711902	-0.05453684666851366
LODO	Lee_Barcelona	online_adaptive	20260803	locked_downstream	0.5833333333333333	0.4444444444444444	0.13888888888888884	0.6631313131313131	0.6471861471861472	0.01594516594516593	0.3352493709912007	0.3441184737711902	-0.00886910277998948
LODO	Lee_Barcelona	online_adaptive	20260803	embedded_DEBIASM	0.2777777777777778	0.4444444444444444	-0.16666666666666663	0.42328042328042326	0.6471861471861472	-0.22390572390572394	0.2894443952082654	0.3441184737711902	-0.05467407856292478
LODO	Lee_Barcelona	online_adaptive	20260804	locked_downstream	0.611111111111111	0.4444444444444444	0.16666666666666663	0.7186868686868686	0.6471861471861472	0.0715007215007214	0.33564237674500536	0.3441184737711902	-0.008476097026184848
LODO	Lee_Barcelona	online_adaptive	20260804	embedded_DEBIASM	0.2777777777777778	0.4444444444444444	-0.16666666666666663	0.42328042328042326	0.6471861471861472	-0.22390572390572394	0.2904180459959728	0.3441184737711902	-0.053700427775217385
LODO	Lee_Barcelona	online_adaptive	20260805	locked_downstream	0.5555555555555555	0.4444444444444444	0.11111111111111105	0.6353535353535353	0.6471861471861472	-0.011832611832611861	0.3355912176740556	0.3441184737711902	-0.008527256097134617
