scenario	species	classification	domain_k	domain_pooled_effect	domain_ci_low	domain_ci_high	domain_p_value	domain_fdr_q	domain_I2	domain_prediction_low	domain_prediction_high	domain_sign_consistency	positive_domains	negative_domains	significant_positive_domains	significant_negative_domains	family_k	family_pooled_effect	family_p_value	family_fdr_q	family_I2	family_sign_consistency	family_same_direction	family_support_p_lt_0_10	prevalence_meta_effect	prevalence_meta_p	prevalence_meta_fdr_q	prevalence_same_direction	dominant_domain_share	influential_domain	loo_sign_flip
PRIMARY	s__GGB3033_SGB4029	CONSISTENT_NONSIGNIFICANT	6	0.2037362864581459	-0.15512206688312968	0.5625946397994215	0.20427056479182118	0.9899399288667535	0.0	-0.1838609905385425	0.5913335634548342	0.8333333333333334	5	1	0	0	3	0.19234793188035054	0.2905116586497553	0.9868213417628564	0.0	1.0	1	0	0.4106834162805698	0.2890633533701668	0.9996325270282626	1	0.30067084286269646	Lee_Leeds	0
PRIMARY	s__Blautia_sp_OF03_15BH	CONSISTENT_NONSIGNIFICANT	6	0.1684490365798767	-0.18141959826108928	0.5183176714208426	0.2707953701646655	0.9899399288667535	0.0	-0.20943858653429553	0.5463366596940489	0.8333333333333334	5	1	0	0	3	0.10197538289449577	0.678462781295334	0.9868213417628564	44.768059934617874	0.6666666666666666	1	0	0.29142223862675926	0.45336906255630194	0.9996325270282626	1	0.2934401974693374	Frankel_US	0
PRIMARY	s__GGB9063_SGB13982	CONSISTENT_NONSIGNIFICANT	6	-0.1622022705176148	-0.5805357589972913	0.25613121796206173	0.3646684595013062	0.9899399288667535	10.861444278781438	-0.82020013746822	0.4957955964329903	0.8333333333333334	1	5	0	0	5	-0.1307110501777566	0.3547086812683798	0.9868213417628564	22.50963501026864	0.8	1	0	-0.49385679717383835	0.2365250201859014	0.9996325270282626	1	0.25446228715440516	Matson_US	0
PRIMARY	s__Butyricicoccus_sp_AM29_23AC	CONSISTENT_NONSIGNIFICANT	6	0.15588502198749354	-0.23375144477842746	0.5455214887534146	0.3509019460147358	0.9899399288667535	19.079320484912678	-0.2649552124075969	0.576725256382584	0.8333333333333334	5	1	0	0	3	0.13362274816666203	0.41602677596223986	0.9868213417628564	0.0	1.0	1	0	0.5148850649388442	0.16374025248817753	0.9996325270282626	1	0.35384091726605865	Lee_Manchester	0
PRIMARY	s__Bacteroides_salyersiae	CONSISTENT_NONSIGNIFICANT	6	0.15373521284501337	-0.18172114309866275	0.4891915687886895	0.2917814471694103	0.9899399288667535	0.0	-0.2085859339578162	0.5160563596478429	0.8333333333333334	5	1	0	0	4	0.06980999401623529	0.5834346723843724	0.9868213417628564	0.0	0.75	1	0	0.2834154492326916	0.4070741019809918	0.9996325270282626	1	0.3466369537518917	Spencer_US	0
PRIMARY	s__Blautia_hydrogenotrophica	CONSISTENT_NONSIGNIFICANT	6	-0.1284789173761293	-0.4775890487855565	0.2206312140332979	0.3875772280481026	0.9899399288667535	0.0	-0.5055472929050793	0.24858945815282066	0.8333333333333334	1	5	0	0	3	-0.08598726458727264	0.5799470262510437	0.9868213417628564	0.0	0.6666666666666666	1	0	-0.03253120705112103	0.9195828288887898	0.9996325270282626	1	0.46715155821560966	Frankel_US	0
PRIMARY	s__Longicatena_caecimuris	CONSISTENT_NONSIGNIFICANT	6	0.12680451571050663	-0.1998055118339934	0.45341454325500663	0.36409089607649076	0.9899399288667535	0.0	-0.2259618507762892	0.4795708821973025	0.8333333333333334	5	1	0	0	4	0.12585678290373478	0.46975934230181554	0.9868213417628564	0.0	0.75	1	0	0.41722599472134425	0.2411278051828569	0.9996325270282626	1	0.36845740198947124	Spencer_US	0
PRIMARY	s__GGB45491_SGB63163	CONSISTENT_NONSIGNIFICANT	6	-0.12607202038575618	-0.4744251627797169	0.22228112200820452	0.3949080746808772	0.9899399288667535	0.0	-0.5023227838916448	0.25017874312013233	0.8333333333333334	1	5	0	0	3	-0.09922767840392935	0.5289357073367588	0.9868213417628564	0.0	0.6666666666666666	1	0	-0.19309000398685897	0.5335739192932035	0.9996325270282626	1	0.28722138355624033	Frankel_US	0
PRIMARY	s__Clostridium_sp_1001270J_160509_D11	CONSISTENT_NONSIGNIFICANT	6	0.11261494748192154	-0.23574101749483	0.46097091245867305	0.44382916752132184	0.9899399288667535	0.0	-0.2636388646599222	0.48886875962376525	0.8333333333333334	5	1	0	0	3	0.09577574663698356	0.5415283358614738	0.9868213417628564	0.0	1.0	1	0	0.16465737639324335	0.6068915823762333	0.9996325270282626	1	0.24971636586544627	Lee_Manchester	0
PRIMARY	s__GGB9782_SGB15403	CONSISTENT_NONSIGNIFICANT	6	-0.07377320508274501	-0.4315348618034194	0.2839884516379294	0.6187469236547187	0.9899399288667535	0.0	-0.584146282982387	0.43659987281689705	0.8333333333333334	1	5	0	0	3	-0.06551611794186402	0.728579050906595	0.9868213417628564	30.69536143353306	0.6666666666666666	1	0	-0.25868706399373603	0.5001950884745698	0.9996325270282626	1	0.39860908350426194	Lee_PRIMM_NL	1
PRIMARY	s__GGB3304_SGB4367	CONSISTENT_NONSIGNIFICANT	6	0.07047190958687129	-0.24966188609110734	0.3906057052648499	0.5959334665085125	0.9899399288667535	0.0	-0.27529958037099567	0.4162433995447382	0.8333333333333334	5	1	0	0	3	0.06142131270740621	0.7212138116873885	0.9868213417628564	26.696027103340125	0.6666666666666666	1	0	0.13354078000407102	0.6649547077848719	0.9996325270282626	1	0.33515607536174497	Lee_PRIMM_UK	1
PRIMARY	s__Ruminococcus_SGB4421	CONSISTENT_NONSIGNIFICANT	6	0.07021472225936155	-0.3177559209340306	0.4581853654527537	0.6613305090167995	0.9899399288667535	0.0	-0.3488262821700142	0.4892557266887373	0.8333333333333334	5	1	0	0	4	0.12828909964269988	0.38073401522461153	0.9868213417628564	0.0	0.75	1	0	0.2055308326237975	0.5702853864377536	0.9996325270282626	1	0.41831280938283455	Gopalakrishnan_US	0
PRIMARY	s__Clostridium_sp_AF12_28	CONSISTENT_NONSIGNIFICANT	6	-0.06813197214137139	-0.47031521592055736	0.33405127163781456	0.6813783798550307	0.9899399288667535	0.0	-0.6588149860913627	0.52255104180862	0.8333333333333334	1	5	0	0	4	-0.0778374318395488	0.6703882142129839	0.9868213417628564	40.73442131029534	0.75	1	0	-0.43460784863692303	0.3520841891399508	0.9996325270282626	1	0.3117233261195616	Spencer_US	0
PRIMARY	s__Desulfovibrio_SGB5077	CONSISTENT_NONSIGNIFICANT	5	0.24186541629297173	-0.22779472616788235	0.7115255587538258	0.2259929184026417	0.9899399288667535	9.582103427615497	-0.5272246690584824	1.0109555016444258	0.8	4	1	1	0	5	0.13348990891692195	0.29151427113128253	0.9868213417628564	0.0	0.8	1	0	0.5714532903160797	0.2132125645852395	0.9996325270282626	1	0.4107344050531497	Spencer_US	0
PRIMARY	s__Massilimicrobiota_timonensis	CONSISTENT_NONSIGNIFICANT	5	-0.21983342268434442	-0.613715119258594	0.17404827388990518	0.1961691568546833	0.9899399288667535	0.0	-0.6713126719695901	0.23164582660090133	0.8	1	4	0	0	3	-0.2068375618474065	0.25671608816837155	0.9868213417628564	0.0	0.6666666666666666	1	0	-0.3873464823881308	0.27650586021684903	0.9996325270282626	1	0.36616074935891235	Lee_PRIMM_NL	0
