species	available_scenarios	same_pooled_direction_all_scenarios	pooled_effect_range	same_classification_all_scenarios	primary_classification	primary_pooled_effect	primary_fdr_q	primary_I2	S1_effect	S2_effect	S3_effect	S1_classification	S2_classification	S3_classification
s__Ruminococcus_bromii	4	1	0.07968693685064346	1	OTHER_OR_INSUFFICIENT	0.012612433530842147	0.9899399288667535	8.487201307220534	0.022136982680273556	0.03177119946438221	0.09229937038148561	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Ruminococcus_callidus	4	1	0.002531777072205907	1	OTHER_OR_INSUFFICIENT	0.09208758188791821	0.9899399288667535	0.0	0.09208758188791821	0.09208758188791821	0.0895558048157123	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Ruminococcus_gnavus	4	1	0.05835098662885281	1	OTHER_OR_INSUFFICIENT	-0.07095027603498898	0.9899399288667535	21.621507773413988	-0.08334465248491561	-0.09707253247897939	-0.1293012626638418	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Ruminococcus_lactaris	4	1	0.0285656885893738	1	OTHER_OR_INSUFFICIENT	-0.07508204300454963	0.9899399288667535	35.55901905221352	-0.06098660646324844	-0.05044614968141417	-0.04651635441517583	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Ruminococcus_sp_AF46_10NS	4	1	0.06756407915877585	1	OTHER_OR_INSUFFICIENT	0.09940164767386331	0.9899399288667535	0.0	0.09940164767386331	0.09940164767386331	0.031837568515087455	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Ruminococcus_sp_BSD2780120874_150323_B10	4	1	0.0513032612768925	1	OTHER_OR_INSUFFICIENT	0.05988270040804887	0.9899399288667535	0.0	0.04736069270274189	0.03530197567275375	0.008579439131156375	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Ruminococcus_sp_NSJ_13	4	1	0.060679821623079146	1	OTHER_OR_INSUFFICIENT	0.06713463580161488	0.9899399288667535	31.50213253930693	0.06713463580161488	0.06713463580161488	0.006454814178535735	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Ruminococcus_torques	4	1	0.010671404634755369	1	OTHER_OR_INSUFFICIENT	0.1195641650009661	0.9899399288667535	0.0	0.11824452353181576	0.11835054285136924	0.12891592816657113	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Ruthenibacterium_lactatiformans	4	1	0.03839316045514447	1	OTHER_OR_INSUFFICIENT	0.028766027065907963	0.9899399288667535	0.0	0.019285073979415798	0.010868868503712823	0.0492620289588573	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Sanguibacter_SGB15121	4	1	0.0	1	OTHER_OR_INSUFFICIENT	0.048842004699036184	0.9899399288667535	0.0	0.048842004699036184	0.048842004699036184	0.048842004699036184	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Scardovia_wiggsiae	4	1	0.07839356445882706	1	OTHER_OR_INSUFFICIENT	-0.31626741251489826	0.9899399288667535	0.0	-0.31626741251489826	-0.31626741251489826	-0.2378738480560712	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Sellimonas_intestinalis	4	1	0.07034721322008249	1	OTHER_OR_INSUFFICIENT	-0.09008191770189006	0.9899399288667535	24.704133682389955	-0.09008191770189006	-0.09008191770189006	-0.01973470448180757	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
