scenario	analysis_level	group	species	effect_type	n	responders	non_responders	prevalence	responder_prevalence	non_responder_prevalence	pseudocount	effect	variance	se	ci_low	ci_high	responder_mean	non_responder_mean
PRIMARY	domain	Frankel_US	s__Actinomyces_sp_ICM58	PRESENCE_LOG_OR	39	24	15	0.358974358974359	0.3333333333333333	0.4	1.13823473906e-07	-0.2876820724517809	0.46527777777777773	0.6821127309893708	-1.6246230251909477	1.0492588802873857		
PRIMARY	domain	Frankel_US	s__Actinomyces_sp_oral_taxon_448	CLR_HEDGES_G	39	24	15	0.1282051282051282	0.125	0.13333333333333333	1.13823473906e-07	0.05847619990588625	0.10837954233273109	0.32921048332750746	-0.5867763474160284	0.7037287472278009	-0.1458124716367303	-0.2528462581222931
PRIMARY	domain	Frankel_US	s__Actinomyces_sp_oral_taxon_448	PRESENCE_LOG_OR	39	24	15	0.1282051282051282	0.125	0.13333333333333333	1.13823473906e-07	-0.07410797215372185	0.9578754578754578	0.978711120747822	-1.992381768819453	1.8441658245120092		
PRIMARY	domain	Frankel_US	s__Actinomyces_sp_ph3	CLR_HEDGES_G	39	24	15	0.3333333333333333	0.25	0.4666666666666667	1.13823473906e-07	-0.31127829014901404	0.10964271406195622	0.331123412132027	-0.960280177927787	0.33772359762975884	0.5986869411052612	1.4376731175876099
PRIMARY	domain	Frankel_US	s__Actinomyces_sp_ph3	PRESENCE_LOG_OR	39	24	15	0.3333333333333333	0.25	0.4666666666666667	1.13823473906e-07	-0.9650808960435872	0.49007936507936506	0.7000566870471027	-2.3371920026559083	0.4070302105687341		
PRIMARY	domain	Frankel_US	s__Adlercreutzia_equolifaciens	CLR_HEDGES_G	39	24	15	0.7948717948717948	0.75	0.8666666666666667	1.13823473906e-07	-0.2765588081707807	0.10936691136545283	0.3307066847909985	-0.9247439103611378	0.37162629401957636	5.836659325360046	7.029186866792134
PRIMARY	domain	Frankel_US	s__Adlercreutzia_equolifaciens	PRESENCE_LOG_OR	39	24	15	0.7948717948717948	0.75	0.8666666666666667	1.13823473906e-07	-0.7731898882334817	0.7991452991452992	0.8939492710133496	-2.525330459419647	0.9789506829526836		
PRIMARY	domain	Frankel_US	s__Agathobaculum_butyriciproducens	CLR_HEDGES_G	39	24	15	0.6666666666666666	0.7083333333333334	0.6	1.13823473906e-07	0.4022466832704221	0.11051985217390164	0.3324452619212698	-0.24934603009526657	1.0538393966361108	5.5740797838998235	3.725588846754881
PRIMARY	domain	Frankel_US	s__Agathobaculum_butyriciproducens	PRESENCE_LOG_OR	39	24	15	0.6666666666666666	0.7083333333333334	0.6	1.13823473906e-07	0.4818380868927384	0.4794584500466853	0.6924293827147179	-0.8753235032281086	1.8389996770135852		
PRIMARY	domain	Frankel_US	s__Akkermansia_muciniphila	CLR_HEDGES_G	39	24	15	0.7692307692307693	0.75	0.8	1.13823473906e-07	-0.05983512795662976	0.10838171498924666	0.3292137831094662	-0.7050941428511834	0.585423886937924	5.7197453154315765	6.009928554033369
PRIMARY	domain	Frankel_US	s__Akkermansia_muciniphila	PRESENCE_LOG_OR	39	24	15	0.7692307692307693	0.75	0.8	1.13823473906e-07	-0.2876820724517809	0.6388888888888888	0.7993052538854533	-1.8543203700672692	1.2789562251637077		
PRIMARY	domain	Frankel_US	s__Akkermansia_sp_BIOML_A40	CLR_HEDGES_G	39	24	15	0.358974358974359	0.375	0.3333333333333333	1.13823473906e-07	-0.011340076863525011	0.10833507113526943	0.32914293420225416	-0.6564602278999432	0.6337800741728932	1.872444324083227	1.9186767735349481
