scenario	model	domain_a	domain_b	auc_a_to_b	auc_b_to_a	reciprocal_mean_auc	reciprocal_min_auc	reciprocal_max_auc	absolute_directional_asymmetry	train_size_difference_absolute	response_rate_difference_absolute	same_study_family	same_country	same_treatment_scope_group	aitchison_centroid_distance	bray_curtis_centroid_distance	jensen_shannon_distance	prevalence_l1_distance
PRIMARY	random_forest	Lee_PRIMM_UK	Matson_US	0.5178571428571429	0.5238095238095238	0.5208333333333334	0.5178571428571429	0.5238095238095238	0.005952380952380931	16	0.24269005847953223	0	0	0	1.8534931918759978	0.6124204863537068	0.5259206807769226	0.06252182484429769
PRIMARY	random_forest	Lee_PRIMM_UK	Spencer_US	0.5357529794149513	0.47186147186147187	0.5038072256382116	0.47186147186147187	0.5357529794149513	0.06389150755347939	43	0.12084765177548673	0	0	0	1.8951555363130812	0.6409902283621296	0.5444864834515294	0.06305335421682991
PRIMARY	random_forest	Matson_US	Spencer_US	0.45774647887323944	0.4583333333333333	0.4580399061032864	0.45774647887323944	0.4583333333333333	0.0005868544600938774	59	0.36353771025501896	0	1	0	1.085571598218901	0.2896984855829794	0.3022554757028195	0.03619677568983824
PRIMARY	ridge	Frankel_US	Gopalakrishnan_US	0.512987012987013	0.46944444444444444	0.4912157287157287	0.46944444444444444	0.512987012987013	0.04354256854256855	14	0.055384615384615365	0	1	0	1.4601102198390727	0.5138555257100887	0.457773044074274	0.0727642304785162
PRIMARY	ridge	Frankel_US	Lee_Barcelona	0.25	0.4388888888888889	0.34444444444444444	0.25	0.4388888888888889	0.18888888888888888	27	0.11538461538461542	0	0	1	2.148005799674066	0.5625705120362823	0.5030899391825384	0.08056573056573058
PRIMARY	ridge	Frankel_US	Lee_Leeds	0.22500000000000003	0.39722222222222225	0.3111111111111111	0.22500000000000003	0.39722222222222225	0.17222222222222222	21	0.05982905982905984	0	0	1	2.0000659164923533	0.43330674562958954	0.39824176658373817	0.06973855069093164
PRIMARY	ridge	Frankel_US	Lee_Manchester	0.4807692307692307	0.5138888888888888	0.4973290598290598	0.4807692307692307	0.5138888888888888	0.03311965811965811	14	0.13538461538461544	0	0	1	2.0576633286376182	0.5284366611922444	0.4800730908319456	0.07087714402000117
PRIMARY	ridge	Frankel_US	Lee_PRIMM_NL	0.5123966942148761	0.47777777777777775	0.4950872359963269	0.47777777777777775	0.5123966942148761	0.03461891643709836	16	0.015384615384615441	0	0	1	2.1537283003203482	0.5362672870971259	0.49418965792965314	0.07240103811532383
PRIMARY	ridge	Frankel_US	Lee_PRIMM_UK	0.5988455988455988	0.5166666666666667	0.5577561327561328	0.5166666666666667	0.5988455988455988	0.08217893217893213	15	0.004273504273504258	0	0	1	1.822480321344653	0.5029369678988839	0.44529863877920617	0.06176134271372367
PRIMARY	ridge	Frankel_US	Matson_US	0.369047619047619	0.375	0.37202380952380953	0.369047619047619	0.375	0.005952380952380987	1	0.2469635627530365	0	1	0	1.0679491869084694	0.4539916266983753	0.38945877784631266	0.04694336574035822
PRIMARY	ridge	Frankel_US	Spencer_US	0.49024918743228607	0.49722222222222223	0.49373570482725415	0.49024918743228607	0.49722222222222223	0.006973034789936161	58	0.11657414750198247	0	1	0	1.37106100772541	0.4428438885729916	0.3915311991633044	0.059063371581780995
PRIMARY	ridge	Gopalakrishnan_US	Lee_Barcelona	0.25	0.2272727272727273	0.23863636363636365	0.2272727272727273	0.25	0.022727272727272707	13	0.06000000000000005	0	0	0	1.7464261293987988	0.43864029899351553	0.4368346369614659	0.07725321239606954
PRIMARY	ridge	Gopalakrishnan_US	Lee_Leeds	0.45	0.4025974025974026	0.4262987012987013	0.4025974025974026	0.45	0.04740259740259739	7	0.004444444444444473	0	0	0	2.0440113218725884	0.6134426055677813	0.5216269539720565	0.08646107331821616
PRIMARY	ridge	Gopalakrishnan_US	Lee_Manchester	0.5384615384615385	0.6103896103896104	0.5744255744255744	0.5384615384615385	0.6103896103896104	0.07192807192807182	0	0.08000000000000007	0	0	0	2.156186223234672	0.7155554538377515	0.6032222163102883	0.08168707482993197
PRIMARY	ridge	Gopalakrishnan_US	Lee_PRIMM_NL	0.6019283746556473	0.4545454545454546	0.528236914600551	0.4545454545454546	0.6019283746556473	0.14738292011019272	30	0.039999999999999925	0	0	0	2.1884513111812445	0.7745689314443972	0.6511689475893659	0.07338528138528139
PRIMARY	ridge	Gopalakrishnan_US	Lee_PRIMM_UK	0.673881673881674	0.7337662337662336	0.7038239538239538	0.673881673881674	0.7337662337662336	0.05988455988455965	29	0.05111111111111111	0	0	0	2.0629884886791996	0.7029774214674973	0.5924470851118022	0.07848122952884858
